cacode,18-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,>=71,Total
A01,93,172,198,254,297,376,435,492,497,416,375,726,4331
A02,145,299,285,370,465,617,656,896,878,668,482,864,6625
A03,150,356,286,344,503,654,729,971,852,684,490,830,6849
A04,81,281,250,268,312,441,499,706,694,629,492,654,5307
A05,176,453,404,444,571,689,768,983,982,881,654,1102,8107
A06,162,369,378,470,668,765,708,819,729,610,441,890,7009
A07,176,429,487,588,613,664,778,907,825,716,620,1402,8205
A08,175,412,454,522,643,730,624,830,851,719,548,998,7506
A09,231,520,546,571,776,963,1066,1248,1041,916,637,1184,9699
A10,169,445,489,586,616,674,661,766,857,781,636,1250,7930
A11,164,382,448,520,572,595,571,678,793,761,579,1230,7293
A12,132,385,425,476,554,574,621,655,759,650,494,923,6648
A13,117,269,264,362,436,513,477,626,574,458,353,718,5167
A14,152,378,389,473,489,575,560,777,836,662,462,884,6637
A15,184,386,441,509,593,582,655,829,825,706,559,965,7234
B01,85,245,306,293,366,415,427,474,522,486,390,937,4946
B02,114,248,322,407,436,514,474,546,599,596,518,1211,5985
B03,81,211,227,316,392,428,397,447,494,518,462,996,4969
B04,112,303,293,406,553,545,510,628,610,599,600,1111,6270
B05,118,293,329,430,489,654,519,613,672,735,763,1667,7282
B06,73,180,221,299,411,444,431,448,487,517,481,1176,5168
B07,98,235,207,323,443,561,611,701,619,545,383,969,5695
B08,134,325,265,293,345,536,599,841,804,630,438,783,5993
B09,128,315,242,271,325,417,542,699,684,624,424,637,5308
B10,66,138,164,320,449,583,563,550,518,519,467,1013,5350
B11,83,207,203,217,300,403,469,549,613,590,490,959,5083
B12,94,223,225,271,374,416,428,502,483,516,397,797,4726
B13,84,194,241,269,379,446,459,520,567,503,421,929,5012
C01,195,443,488,525,631,755,813,1074,1028,1086,713,1065,8816
C02,223,497,440,530,724,848,890,1157,1160,1146,852,1433,9900
C03,233,529,456,595,743,786,880,1123,1049,879,614,1432,9319
C04,226,603,597,719,825,1003,886,1046,1131,1008,835,2394,11273
C05,161,421,427,459,497,503,540,747,749,609,447,853,6413
C06,215,525,486,628,1042,1222,1025,1011,978,934,892,2005,10963
C07,376,696,537,554,652,896,1258,1819,1511,948,514,874,10635
C08,200,448,571,660,604,686,729,1058,995,745,554,1329,8579
C09,317,527,427,447,674,1095,1314,1402,1021,667,470,908,9269
C10,171,536,734,626,451,434,515,905,1122,935,606,1242,8277
C11,359,670,474,575,641,952,1426,1669,1232,859,713,1615,11185
C12,210,490,500,623,508,519,589,862,1040,958,668,1475,8442
C13,220,509,513,498,579,634,669,976,998,920,766,1834,9116
C14,159,364,398,477,643,648,607,678,656,655,720,1363,7368
C15,208,396,332,329,457,611,736,886,947,808,578,967,7255
C16,192,422,440,526,730,822,766,923,902,877,736,1392,8728
C17,165,415,474,505,602,777,728,822,870,807,755,1371,8291
C18,163,470,595,620,780,812,728,913,1003,993,934,1626,9637
C19,170,342,383,446,640,694,640,700,647,665,662,1080,7069
C20,174,414,498,567,791,850,728,795,862,818,874,1577,8948
C21,179,437,465,505,685,779,769,906,896,804,639,1115,8179
C22,153,424,381,380,441,632,674,843,757,674,545,1758,7662
C23,139,347,371,471,570,592,568,667,682,703,537,1077,6724
C24,185,422,422,530,694,752,750,939,917,801,700,1199,8311
