cacode,population,electors
A01,13850,4331
A02,18828,6625
A03,18859,6849
A04,20324,5307
A05,19010,8107
A06,16920,7009
A07,15188,8205
A08,14789,7506
A09,21195,9699
A10,17176,7930
A11,14528,7293
A12,17550,6648
A13,13051,5167
A14,16227,6637
A15,15142,7234
B01,13207,4946
B02,14442,5985
B03,13514,4969
B04,14642,6270
B05,14156,7282
B06,13655,5168
B07,13637,5695
B08,15200,5993
B09,14677,5308
B10,14090,5350
B11,14203,5083
B12,14597,4726
B13,13346,5012
C01,18269,8816
C02,19530,9900
C03,20803,9319
C04,19119,11273
C05,13250,6413
C06,19188,10963
C07,19267,10635
C08,13031,8579
C09,16981,9269
C10,13176,8277
C11,15934,11185
C12,14542,8442
C13,15427,9116
C14,14048,7368
C15,16991,7255
C16,15917,8728
C17,15679,8291
C18,21058,9637
C19,15583,7069
C20,16793,8948
C21,15345,8179
C22,14480,7662
C23,13764,6724
C24,14081,8311
C25,14724,8230
C26,14958,7753
C27,18899,12386
C28,19482,8691
C29,16389,8404
C30,12732,8117
C31,14432,8444
C32,12391,8078
C33,13349,7074
C34,14804,8337
C35,13343,8630
D01,19698,10343
D02,12478,8480
D03,13025,6040
D04,16828,10264
D05,13307,9030
D06,15340,7499
D07,16036,8260
D08,14737,10876
D09,12429,7585
D10,14296,8616
D11,19996,5773
D12,16062,9142
D13,16716,9058
D14,18474,11389
D15,17251,8976
D16,18417,3724
D17,22008,7582
E01,20881,4201
E02,18327,6055
E03,14818,6979
E04,19918,7641
E05,17628,9806
E06,15423,5911
E07,18820,9108
E08,18162,5095
E09,15676,5620
E10,16214,6514
E11,18474,7547
E12,20432,7421
E13,17859,6332
E14,15742,6079
E15,16293,5614
E16,12817,5181
E17,15185,3427
E18,16871,5498
E19,13558,3852
F01,19254,7500
F02,16864,6712
F03,19807,5711
F04,20852,10075
F05,18487,6249
F06,20737,6404
F07,18413,4986
F08,20523,7507
F09,20270,10747
F10,14379,8995
F11,15401,7404
F12,17514,8843
F13,17304,8564
F14,14675,7331
F15,16929,8061
F16,19882,7085
F17,14042,4411
F18,18626,10274
F19,13110,9267
F20,14701,7647
F21,16484,5905
F22,16244,8858
F23,16794,8170
G01,19205,10030
G02,20012,7732
G03,14990,6593
G04,16110,7944
G05,16095,9929
G06,20651,9353
G07,18756,7981
G08,16841,6619
G09,19293,7383
G10,15460,6108
G11,20487,7304
G12,16562,6364
G13,14599,5466
G14,15823,7764
G15,13368,5331
G16,15454,5926
G17,18930,7130
G18,18187,9122
G19,20624,8509
G20,19607,8134
G21,14578,5346
G22,19301,10227
G23,14736,8831
G24,13524,9167
H01,15872,7651
H02,12901,8511
H03,20477,11574
H04,16200,6281
H05,16240,11251
H06,20111,11801
H07,21677,10563
H08,19630,9853
H09,17580,9738
H10,14977,8802
H11,17303,10815
H12,14528,9668
H13,18266,12167
H14,15103,8575
H15,16098,11148
H16,19020,11429
H17,20150,11299
H18,20235,11145
H19,20122,10485
H20,19385,12358
H21,13945,7018
H22,12773,7365
H23,13487,8594
H24,16110,8638
